Employee_No,Employee_Code,Name,Title,Address_Line_3,Date_of_Birth,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Status_Reason,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,,,
415,2334,Isabella Brakus,Mr,,4/24/1982,Male,4,,36,6/1/2015,7/25/2021,Inactive,RESIGN,7/25/2021,\N,\N,Staff,Contarct Basis,Catholic,Engineer Assistant,,,
416,2337,Bo Schaefer I,Mr,Pointpedro,5/30/1986,Male,3,Married,27,6/1/2015,3/25/2021,Inactive,RESIGN,3/25/2021,\N,\N,Staff,Contarct Basis,Hindu,Supervisor,,,
417,2342,Gabriella Hoppe,Mr,wariyapola,9/5/1993,Male,1,Married,27,6/1/2015,12/7/2021,Inactive,VOP,12/7/2021,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,,,
418,2417,Rocio Schmidt,Mr,Kalmunei,3/25/1982,Male,3,Married,1,1/17/2014,\N,Inactive,resigned,5/24/2020,\N,\N,Labour,Contarct Basis,Hindu,Skilled Labor,,,
419,2421,Ms Jany Lemke,Mr,Rathnapura,10/14/1988,Male,1,Married,22,8/24/2015,5/31/2021,Inactive,Resign,5/31/2021,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,,,
420,2426,Dr Kieran Bradtke IV,Mr,Mahaoya,9/1/1995,Male,1,Married,24,9/1/2015,\N,Active,,\N,\N,\N,Staff,Contarct Basis,Buddhist,Driver,,,
421,2481,Marcos Kemmer MD,Mr,,1/24/1997,Male,1,Single,24,1/2/2016,8/31/2022,Inactive,RESIGN,8/31/2022,\N,\N,Staff,Contarct Basis,Buddhist,Driver,,,
422,2488,Burley Willms,Ms,Pallekele,7/8/1981,Female,1,Married,8,2/5/2016,4/30/2021,Inactive,Resign,4/30/2021,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,,,
423,2512,Kaley Ankunding MD,Mr,,1/1/1987,Male,1,,57,5/12/2016,\N,Active,,\N,\N,\N,Staff,Contarct Basis,Buddhist,Driver - Truck Mixture,,,
424,2513,Rogers Conroy,Mr,,3/28/1988,Male,1,Single,24,5/26/2016,\N,Inactive,RESIGN,8/31/2021,\N,\N,Staff,Contarct Basis,Buddhist,Driver,,,
425,2647,Alison Price V,Mr,Nugegoda,5/19/1965,Male,1,Married,38,8/15/2016,8/31/2022,Inactive,Resign,8/31/2022,\N,\N,Staff,Contarct Basis,Buddhist,Office Assistant,,,
426,50028,Thea Gaylord,Mr,Alawathugoda,5/10/1962,Male,1,Married,58,7/3/2020,10/26/2021,Inactive,RESIGN,10/26/2021,\N,\N,Staff,Contarct Basis,Buddhist,Sociologist,,,
